Halte Bandara Adisutjipto;-7.78458333333333, 110.436361111111
Halte Jl. Solo (Jayakarta);-7.78341666666667, 110.419333333333
Halte Jl. Solo (Janti);-7.78322222222222, 110.411583333333
Halte J-Walk;-7.779425, 110.414702777778
Halte Portable Jl. Babarsari;-7.77399444444444, 110.412127777778
Halte Jl. Solo (Janti Flyover);-7.78575, 110.410444444444
Halte RS. AU Dr.S. Hardjolukito;-7.79730555555556, 110.410083333333
Halte Gedong Kuning (Wonocatur);-7.79861111111111, 110.406416666667
Halte Kusumanegara (Gembiraloka);-7.80227777777778, 110.398805555556
Halte Kusumanegara 4;-7.80213888888889, 110.393361111111
Halte Kusumanegara 2;-7.80188888888889, 110.382138888889
Halte Museum Biologi;-7.80166666666667, 110.374194444444
Halte Senopati 1;-7.80152777777778, 110.367
Halte Tentara Pelajar 1;-7.78658333333333, 110.359916666667
Halte Sudirman 3;-7.78288888888889, 110.368833333333
Halte Cik Di Tiro 2;-7.78122222222222, 110.375194444444
Halte Jl. Colombo (Kosudgama);-7.77616666666667, 110.378583333333
Halte Jl. Colombo (UNY);-7.77775, 110.386722222222
Halte Jl. Solo (Debrito);-7.78311111111111, 110.393888888889
Halte Jl. Solo (Ambarukmo);-7.78319444444444, 110.402361111111
Halte Jl. Solo (Janti Flyover);-7.78575, 110.410444444444
Halte Jl. Solo (Janti);-7.78322222222222, 110.411583333333
Halte Jl. Solo (Alfa);-7.78325, 110.419777777778
Halte Jl. Solo (Maguwo);-7.78336111111111, 110.430916666667
